Deal Name,Amount,Deal Stage,Pipeline,industry,company_size,competitor_mentioned,sales_cycle_days,deal_notes,loss_reason_tag,win_reason_tag,internal_deal_id
Deal 0001,5800000,Closed Lost,Deals pipeline,Manufacturing,500+,Competitor B,76,"Lost to Competitor B, they undercut us by almost 25% on the enterprise contract.",,,D0001
Deal 0002,2600000,Closed Won,Deals pipeline,Healthcare,51-200,,15,Champion left mid-cycle but new stakeholder preferred us due to reporting capabilities.,,,D0002
Deal 0003,900000,Closed Lost,Deals pipeline,Healthcare,51-200,Competitor A,36,"Lost to Competitor A, implementation speed was the deciding factor, not budget.",,,D0003
Deal 0004,4400000,Closed Won,Deals pipeline,Healthcare,1-50,,70,"Price was comparable but our implementation timeline sealed it, they needed to go live in 30 days.",,,D0004
Deal 0005,3200000,Closed Won,Deals pipeline,EdTech,51-200,,67,Won mainly due to existing relationship with the CFO from a previous company.,,,D0005
Deal 0006,300000,Closed Won,Deals pipeline,Healthcare,201-500,,90,Customer chose us for better customer support reputation based on reference calls.,,,D0006
Deal 0007,3400000,Closed Won,Deals pipeline,Fintech,51-200,,78,"Won on feature parity plus better support SLA, champion was very engaged throughout.",,,D0007
Deal 0008,6600000,Closed Lost,Deals pipeline,Fintech,500+,Competitor B,150,"Competitor B again on a large deal, customer said budget was approved for a lower number than our floor.",,,D0008
Deal 0009,3800000,Closed Won,Deals pipeline,Logistics,201-500,,39,"Won on feature parity plus better support SLA, champion was very engaged throughout.",,,D0009
Deal 0010,300000,Closed Won,Deals pipeline,Logistics,1-50,,50,Won mainly due to existing relationship with the CFO from a previous company.,,,D0010
Deal 0011,3800000,Closed Won,Deals pipeline,Healthcare,51-200,,55,Won mainly due to existing relationship with the CFO from a previous company.,,,D0011
Deal 0012,2500000,Closed Won,Deals pipeline,Fintech,51-200,,35,Customer chose us for better customer support reputation based on reference calls.,,,D0012
Deal 0013,300000,Closed Lost,Deals pipeline,Healthcare,1-50,Competitor A,38,"Lost to Competitor A, they could go live in days while our implementation takes weeks, timeline was the dealbreaker.",,,D0013
Deal 0014,3800000,Closed Won,Deals pipeline,Healthcare,51-200,,25,"Won on feature parity plus better support SLA, champion was very engaged throughout.",,,D0014
Deal 0015,2400000,Closed Lost,Deals pipeline,Fintech,500+,,49,"No competitor mentioned, customer decided to build in-house instead.",,,D0015
Deal 0016,1600000,Closed Won,Deals pipeline,Fintech,500+,,72,"Won on a multi-year discount we offered, customer was price sensitive but valued the relationship.",,,D0016
