deal_id,deal_name,outcome,deal_value_inr,industry,company_size,competitor_mentioned,sales_cycle_days,deal_notes
D0001,Deal 0001,lost,5800000,Manufacturing,500+,Competitor B,76,"Lost to Competitor B, they undercut us by almost 25% on the enterprise contract."
D0002,Deal 0002,won,2600000,Healthcare,51-200,,15,Champion left mid-cycle but new stakeholder preferred us due to reporting capabilities.
D0003,Deal 0003,lost,900000,Healthcare,51-200,Competitor A,36,"Lost to Competitor A, implementation speed was the deciding factor, not budget."
D0004,Deal 0004,won,4400000,Healthcare,1-50,,70,"Price was comparable but our implementation timeline sealed it, they needed to go live in 30 days."
D0005,Deal 0005,won,3200000,EdTech,51-200,,67,Won mainly due to existing relationship with the CFO from a previous company.
D0006,Deal 0006,won,300000,Healthcare,201-500,,90,Customer chose us for better customer support reputation based on reference calls.
D0007,Deal 0007,won,3400000,Fintech,51-200,,78,"Won on feature parity plus better support SLA, champion was very engaged throughout."
D0008,Deal 0008,lost,6600000,Fintech,500+,Competitor B,150,"Competitor B again on a large deal, customer said budget was approved for a lower number than our floor."
D0009,Deal 0009,won,3800000,Logistics,201-500,,39,"Won on feature parity plus better support SLA, champion was very engaged throughout."
D0010,Deal 0010,won,300000,Logistics,1-50,,50,Won mainly due to existing relationship with the CFO from a previous company.
D0011,Deal 0011,won,3800000,Healthcare,51-200,,55,Won mainly due to existing relationship with the CFO from a previous company.
D0012,Deal 0012,won,2500000,Fintech,51-200,,35,Customer chose us for better customer support reputation based on reference calls.
D0013,Deal 0013,lost,300000,Healthcare,1-50,Competitor A,38,"Lost to Competitor A, they could go live in days while our implementation takes weeks, timeline was the dealbreaker."
D0014,Deal 0014,won,3800000,Healthcare,51-200,,25,"Won on feature parity plus better support SLA, champion was very engaged throughout."
D0015,Deal 0015,lost,2400000,Fintech,500+,,49,"No competitor mentioned, customer decided to build in-house instead."
D0016,Deal 0016,won,1600000,Fintech,500+,,72,"Won on a multi-year discount we offered, customer was price sensitive but valued the relationship."
D0017,Deal 0017,lost,6300000,Fintech,500+,Competitor B,122,"Lost to Competitor B after a long negotiation, their per-seat pricing was significantly lower for this volume."
D0018,Deal 0018,lost,3600000,Manufacturing,500+,Competitor B,141,"Competitor B again on a large deal, customer said budget was approved for a lower number than our floor."
D0019,Deal 0019,won,1900000,Healthcare,500+,,73,"Price was comparable but our implementation timeline sealed it, they needed to go live in 30 days."
D0020,Deal 0020,won,4000000,Manufacturing,1-50,,56,"Won after a strong product demo, no major competitor mentioned in this cycle."
D0021,Deal 0021,won,1100000,Logistics,500+,,39,"They were evaluating two vendors, we won because our integration with their existing stack was native."
D0022,Deal 0022,lost,5200000,Logistics,201-500,Competitor C,62,"No competitor mentioned, customer decided to build in-house instead."
